title,description,location,company_profile,fraud
"Senior Software Engineer","We are seeking an experienced software engineer to join our healthcare technology team. Required: 5+ years experience in Python, cloud platforms, and distributed systems. Competitive salary and benefits package.","San Francisco, CA","HealthTech Inc - Leading provider of healthcare software solutions. Founded in 2010, Series B funded.",0
"Data Entry Work From Home","URGENT!!! Make $5000/week working from home! No experience needed. Immediate start. Just 2 hours per day. Western Union payments weekly. Contact us NOW!!!","Remote","Global Opportunities Ltd",1
"Marketing Manager","Join our marketing team to lead brand strategy and digital campaigns. 3+ years experience in B2B marketing required. Full benefits, stock options, and flexible PTO.","New York, NY","TechCorp - Fortune 500 technology company with global presence.",0
"Business Opportunity!!!","BE YOUR OWN BOSS! No qualification needed! $10,000 first month guaranteed! Small registration fee required. DONT MISS THIS CHANCE! Bitcoin payments accepted.","Anywhere","Success Enterprise",1
"Machine Learning Engineer","Looking for an ML engineer to work on NLP projects. Required: Masters/PhD in CS/ML, experience with PyTorch/TensorFlow, and published research. Remote friendly.","Boston, MA","AI Research Labs - Leading AI research company focusing on NLP applications.",0
"Administrative Assistant","Entry-level position for organized individual. Duties include scheduling, filing, and general office support. Full-time with benefits.","Chicago, IL","Smith & Associates - Professional services firm.",0
"Make Money Fast!!!","Earn $1000s daily from home! No skills needed! We provide everything! One-time setup fee applies. PayPal/Bitcoin accepted!!!","Work From Home","Quick Cash Solutions",1
"Frontend Developer","React developer needed for e-commerce project. 2+ years experience with modern JavaScript frameworks. Competitive salary + equity.","Seattle, WA","E-commerce Solutions Inc - Growing startup in online retail space.",0
"Investment Opportunity","GUARANTEED RETURNS! Invest now and triple your money in 30 days! Limited time offer! Small initial investment required. Crypto friendly!","Online","Global Investments Ltd",1
"Product Manager","Lead product development for our SaaS platform. 5+ years experience in product management. Competitive package with equity.","Austin, TX","SaaS Technologies - B2B software company.",0
"Easy Income Opportunity","Work 2 hours, earn $500 daily! No experience! No interview! Processing fee required. Western Union payments!","Flexible","Fast Money Corp",1
"Data Scientist","Join our data science team working on recommendation systems. Required: PhD in related field, experience with deep learning.","Boston, MA","Tech Innovations Inc - AI research company.",0
"Home Based Work","URGENT: Simple copy-paste job! $2000/week guaranteed! Payment after registration fee! No experience needed!!!","Remote","Global Work Solutions",1
"UX Designer","Design user experiences for our mobile apps. 3+ years experience in mobile UX design. Competitive salary and benefits.","San Francisco, CA","Mobile Apps Inc - Leading mobile app developer.",0
"Business Partner Wanted","Million dollar opportunity! Be your own boss! Small partnership fee required. GUARANTEED SUCCESS! Crypto accepted!!!","Anywhere","Success Partners Ltd",1 